disease_group,disease_category,disease,gwas_id,protein,mr_method,snps,odds_ratio,ci_lower,ci_upper,pvalue
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,ebi-a-GCST90018833,ANGPTL7,Inverse variance weighted (multiplicative random effects),13,0.942410447,0.898380772,0.988598017,0.015109076
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,CCL15,Inverse variance weighted,12,0.916578323,0.844574762,0.994720492,0.036904891
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,CCL15,Inverse variance weighted (fixed effects),12,0.916578323,0.844574762,0.994720492,0.036904891
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,DCXR,Wald ratio,1,1.544894678,1.024606373,2.329381927,0.037891788
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,SCARA5,Inverse variance weighted,11,0.879893424,0.779655886,0.99301814,0.038122061
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,SCARA5,Inverse variance weighted (multiplicative random effects),11,0.879893424,0.779655886,0.99301814,0.038122061
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,AOC3,Inverse variance weighted,18,1.001206975,1.000311856,1.002102896,0.008211028
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,AOC3,Inverse variance weighted (fixed effects),18,1.001206975,1.000311856,1.002102896,0.008211028
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,AOC3,Inverse variance weighted (multiplicative random effects),18,1.001206975,1.000383805,1.002030822,0.004047877
Cardiovascular diseases,Arrhythmias,Atrial fibrillation,ebi-a-GCST90038689,AOC3,Inverse variance weighted,18,1.000957813,1.000328152,1.00158787,0.002864134
Cardiovascular diseases,Arrhythmias,Atrial fibrillation,ebi-a-GCST90038689,AOC3,Inverse variance weighted (fixed effects),18,1.000957813,1.000328152,1.00158787,0.002864134
Cardiovascular diseases,Arrhythmias,Atrial fibrillation,ebi-a-GCST90038689,AOC3,Inverse variance weighted (multiplicative random effects),18,1.000957813,1.000473265,1.001442595,0.000106502
Cardiovascular diseases,Hypertension,Essential hypertension,ebi-a-GCST90038608,AOC3,Inverse variance weighted,18,0.999323418,0.998821846,0.999825242,0.008233782
Cardiovascular diseases,Hypertension,Essential hypertension,ebi-a-GCST90038608,AOC3,Inverse variance weighted (fixed effects),18,0.999323418,0.998821846,0.999825242,0.008233782
Cardiovascular diseases,Hypertension,Essential hypertension,ebi-a-GCST90038608,AOC3,Inverse variance weighted (multiplicative random effects),18,0.999323418,0.999009201,0.999637734,2.46e-05
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia in Alzheimer disease,finn-b-F5_ALZHDEMENT,CPM,Inverse variance weighted (multiplicative random effects),4,1.869244347,1.36906289,2.552165027,8.25e-05
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ieu-b-5067,ITGA11,Inverse variance weighted (multiplicative random effects),8,1.000880773,1.000440111,1.001321628,8.91e-05
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer disease, including avohilmo",finn-b-G6_ALZHEIMER_INCLAVO,RSPO3,Inverse variance weighted (fixed effects),3,0.586384261,0.446327917,0.770389862,0.000126399
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,SEMA3F,Inverse variance weighted (multiplicative random effects),4,0.623765602,0.489988188,0.794067154,0.000126972
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,NTRK3,Inverse variance weighted (multiplicative random effects),7,1.221526751,1.10172401,1.354356981,0.000145019
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ieu-b-5067,ADAM22,Inverse variance weighted (fixed effects),27,0.999313558,0.998949953,0.999677295,0.000217049
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ieu-b-5067,ADAM22,Inverse variance weighted,27,0.999313558,0.998949953,0.999677295,0.000217049
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ieu-b-5067,LGALS3BP,Inverse variance weighted (multiplicative random effects),4,1.001311872,1.000615504,1.002008725,0.000221157
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,CALB2,Wald ratio,1,0.62597881,0.488193805,0.80265146,0.000221466
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer disease,finn-b-G6_ALZHEIMER,CFB,Inverse variance weighted,17,0.843009264,0.769761089,0.923227518,0.000231032
Neurological and psychiatric diseases,Neurodegenerative Diseases,Amyotrophic lateral sclerosis,ebi-a-GCST90027164,AOC3,Inverse variance weighted,12,0.944345686,0.899375078,0.991564918,0.02143248
Neurological and psychiatric diseases,Neurodegenerative Diseases,Amyotrophic lateral sclerosis,ebi-a-GCST90027164,AOC3,Inverse variance weighted (fixed effects),12,0.944345686,0.899375078,0.991564918,0.02143248
Neurological and psychiatric diseases,Neurodegenerative Diseases,Amyotrophic lateral sclerosis,ebi-a-GCST90027164,AOC3,Inverse variance weighted (multiplicative random effects),12,0.944345686,0.91321569,0.976536852,0.000813109
Cardiovascular diseases,Stroke,"Ischaemic Stroke, excluding all haemorrhages",finn-b-I9_STR_EXH,AOC3,Inverse variance weighted,15,0.939566351,0.893516057,0.987989999,0.015046962
Cardiovascular diseases,Stroke,"Ischaemic Stroke, excluding all haemorrhages",finn-b-I9_STR_EXH,AOC3,Inverse variance weighted (fixed effects),15,0.939566351,0.893516057,0.987989999,0.015046962
Cardiovascular diseases,Stroke,"Ischaemic Stroke, excluding all haemorrhages",finn-b-I9_STR_EXH,AOC3,Inverse variance weighted (multiplicative random effects),15,0.939566351,0.895661565,0.985623323,0.010677192
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,ICAM1,Inverse variance weighted,17,1.078628526,1.00403729,1.158761241,0.038433497
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,ICAM1,Inverse variance weighted (fixed effects),17,1.078628526,1.00403729,1.158761241,0.038433497
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,SPINK5,Inverse variance weighted,8,0.912666606,0.836184659,0.996144003,0.040705203
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,SPINK5,Inverse variance weighted (multiplicative random effects),8,0.912666606,0.836184659,0.996144003,0.040705203
Cardiovascular diseases,Stroke,"Stroke, excluding SAH",finn-b-I9_STR,AOC3,Inverse variance weighted,15,0.939236868,0.895341661,0.98528409,0.010255114
Cardiovascular diseases,Stroke,"Stroke, excluding SAH",finn-b-I9_STR,AOC3,Inverse variance weighted (fixed effects),15,0.939236868,0.895341661,0.98528409,0.010255114
Cardiovascular diseases,Stroke,"Stroke, excluding SAH",finn-b-I9_STR,AOC3,Inverse variance weighted (multiplicative random effects),15,0.939236868,0.897530601,0.982881133,0.006828071
Cardiovascular diseases,Stroke,"Stroke, including SAH",finn-b-I9_STR_SAH,AOC3,Inverse variance weighted,15,0.942207503,0.899524814,0.986915498,0.01184097
Cardiovascular diseases,Stroke,"Stroke, including SAH",finn-b-I9_STR_SAH,AOC3,Inverse variance weighted (fixed effects),15,0.942207503,0.899524814,0.986915498,0.01184097
Cardiovascular diseases,Stroke,"Stroke, including SAH",finn-b-I9_STR_SAH,AOC3,Inverse variance weighted (multiplicative random effects),15,0.942207503,0.907970767,0.9777352,0.001619727
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST005843,APCS,Inverse variance weighted,5,0.919857665,0.853304195,0.991601974,0.029250542
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST005843,APCS,Inverse variance weighted (fixed effects),5,0.919857665,0.853304195,0.991601974,0.029250542
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST005843,APCS,Inverse variance weighted (multiplicative random effects),5,0.919857665,0.888580597,0.952235652,2.21e-06
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST006908,APCS,Inverse variance weighted,5,0.898601677,0.826548618,0.976935846,0.012169338
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST006908,APCS,Inverse variance weighted (fixed effects),5,0.898601677,0.826548618,0.976935846,0.012169338
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST006908,APCS,Inverse variance weighted (multiplicative random effects),5,0.898601677,0.854739005,0.94471525,2.82e-05
Cardiovascular diseases,Stroke,Ischemic stroke (large artery atherosclerosis),ebi-a-GCST006907,APCS,Inverse variance weighted,5,0.754945241,0.570328394,0.999323061,0.049445164
Cardiovascular diseases,Stroke,Ischemic stroke (large artery atherosclerosis),ebi-a-GCST006907,APCS,Inverse variance weighted (fixed effects),5,0.754945241,0.608546778,0.936562869,0.010591822
Cardiovascular diseases,Stroke,Ischemic stroke (large artery atherosclerosis),ebi-a-GCST006907,APCS,Inverse variance weighted (multiplicative random effects),5,0.754945241,0.570328394,0.999323061,0.049445164
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,GM2A,Inverse variance weighted (fixed effects),19,0.939068267,0.884121639,0.997429733,0.040987061
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,MEGF10,Inverse variance weighted,19,1.096363938,1.003681461,1.197604949,0.041196694
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,MEGF10,Inverse variance weighted (fixed effects),19,1.096363938,1.003681461,1.197604949,0.041196694
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,ADH4,Wald ratio,1,1.321987508,1.010917024,1.728777863,0.041417518
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,BCHE,Inverse variance weighted,21,1.095355523,1.00349699,1.195622641,0.041538205
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,BCHE,Inverse variance weighted (multiplicative random effects),21,1.095355523,1.00349699,1.195622641,0.041538205
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST005838,APCS,Inverse variance weighted,5,0.9011607,0.840189964,0.966555948,0.003594735
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST005838,APCS,Inverse variance weighted (fixed effects),5,0.9011607,0.840189964,0.966555948,0.003594735
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST005838,APCS,Inverse variance weighted (multiplicative random effects),5,0.9011607,0.858960438,0.945434238,2.11e-05
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST006906,APCS,Inverse variance weighted,5,0.880132444,0.815027148,0.950438425,0.001128299
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST006906,APCS,Inverse variance weighted (fixed effects),5,0.880132444,0.815027148,0.950438425,0.001128299
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST006906,APCS,Inverse variance weighted (multiplicative random effects),5,0.880132444,0.8271381,0.93652211,5.58e-05
Cardiovascular diseases,Heart Failure,Chronic heart failure,ebi-a-GCST90018806,APOF,Inverse variance weighted,2,1.210108566,1.072609669,1.365233582,0.001941508
Cardiovascular diseases,Heart Failure,Chronic heart failure,ebi-a-GCST90018806,APOF,Inverse variance weighted (fixed effects),2,1.210108566,1.072609669,1.365233582,0.001941508
Cardiovascular diseases,Heart Failure,Chronic heart failure,ebi-a-GCST90018806,APOF,Inverse variance weighted (multiplicative random effects),2,1.210108566,1.171084484,1.250433048,4.04e-30
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST005194,APOF,Inverse variance weighted,2,1.121629742,1.017376904,1.236565597,0.021103684
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST005194,APOF,Inverse variance weighted (fixed effects),2,1.121629742,1.055334343,1.192089774,0.000221943
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST005194,APOF,Inverse variance weighted (multiplicative random effects),2,1.121629742,1.017376904,1.236565597,0.021103684
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST003116,APOF,Inverse variance weighted,2,1.240932407,1.113149594,1.383383911,9.89e-05
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST003116,APOF,Inverse variance weighted (fixed effects),2,1.240932407,1.113149594,1.383383911,9.89e-05
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST003116,APOF,Inverse variance weighted (multiplicative random effects),2,1.240932407,1.199070673,1.28425561,6.31e-35
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,APOF,Inverse variance weighted,2,1.004045112,1.000859718,1.007240644,0.012772134
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,APOF,Inverse variance weighted (fixed effects),2,1.004045112,1.000859718,1.007240644,0.012772134
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,APOF,Inverse variance weighted (multiplicative random effects),2,1.004045112,1.003195414,1.00489553,9.12e-21
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90018877,APOF,Inverse variance weighted,2,1.183338296,1.065687759,1.313977299,0.001628432
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90018877,APOF,Inverse variance weighted (fixed effects),2,1.183338296,1.065687759,1.313977299,0.001628432
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90018877,APOF,Inverse variance weighted (multiplicative random effects),2,1.183338296,1.109216084,1.262413649,3.38e-07
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,APOF,Inverse variance weighted,2,1.153876524,1.056659286,1.26003817,0.001436105
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,APOF,Inverse variance weighted (fixed effects),2,1.153876524,1.061044094,1.25483101,0.000823832
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,APOF,Inverse variance weighted (multiplicative random effects),2,1.153876524,1.056659286,1.26003817,0.001436105
Cardiovascular diseases,Arrhythmias,Ventricular arrhythmia,ebi-a-GCST90018940,APOF,Inverse variance weighted,2,0.626526568,0.439138922,0.89387554,0.009915739
Cardiovascular diseases,Arrhythmias,Ventricular arrhythmia,ebi-a-GCST90018940,APOF,Inverse variance weighted (fixed effects),2,0.626526568,0.443221187,0.885642547,0.008104295
Cardiovascular diseases,Arrhythmias,Ventricular arrhythmia,ebi-a-GCST90018940,APOF,Inverse variance weighted (multiplicative random effects),2,0.626526568,0.439138922,0.89387554,0.009915739
Neurological and psychiatric diseases,Psychiatric Disorders,schizophrenia,ieu-b-42,APOF,Inverse variance weighted,2,1.134412476,1.009291483,1.275044612,0.034420507
Neurological and psychiatric diseases,Psychiatric Disorders,schizophrenia,ieu-b-42,APOF,Inverse variance weighted (fixed effects),2,1.134412476,1.009291483,1.275044612,0.034420507
Neurological and psychiatric diseases,Psychiatric Disorders,schizophrenia,ieu-b-42,APOF,Inverse variance weighted (multiplicative random effects),2,1.134412476,1.023005815,1.257951467,0.016790075
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST90038613,APOF,Inverse variance weighted,2,1.003231778,1.000685722,1.005784313,0.012819893
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST90038613,APOF,Inverse variance weighted (fixed effects),2,1.003231778,1.000685722,1.005784313,0.012819893
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST90038613,APOF,Inverse variance weighted (multiplicative random effects),2,1.003231778,1.002969728,1.003493897,1.84e-129
Cardiovascular diseases,Arrhythmias,Atrial fibrillation,ebi-a-GCST90038689,AREG,Inverse variance weighted,4,0.99652228,0.994158665,0.998891514,0.004034859
Cardiovascular diseases,Arrhythmias,Atrial fibrillation,ebi-a-GCST90038689,AREG,Inverse variance weighted (fixed effects),4,0.99652228,0.994640872,0.998407246,0.000302356
Cardiovascular diseases,Arrhythmias,Atrial fibrillation,ebi-a-GCST90038689,AREG,Inverse variance weighted (multiplicative random effects),4,0.99652228,0.994158665,0.998891514,0.004034859
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,AREG,Inverse variance weighted,4,1.00381945,1.000158454,1.007493846,0.040855475
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,AREG,Inverse variance weighted (fixed effects),4,1.00381945,1.000535008,1.007114673,0.022614994
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,AREG,Inverse variance weighted (multiplicative random effects),4,1.00381945,1.000158454,1.007493846,0.040855475
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,GM2A,Inverse variance weighted,19,0.939068267,0.882570106,0.999183186,0.047054244
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,GM2A,Inverse variance weighted (multiplicative random effects),19,0.939068267,0.882570106,0.999183186,0.047054244
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST005194,ASGR1,Inverse variance weighted,2,1.136931975,1.054979582,1.225250553,0.000773218
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST005194,ASGR1,Inverse variance weighted (fixed effects),2,1.136931975,1.054979582,1.225250553,0.000773218
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST005194,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.136931975,1.096751684,1.1785843,2.73e-12
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST003116,ASGR1,Inverse variance weighted,2,1.215632828,1.053511292,1.402702737,0.00749946
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST003116,ASGR1,Inverse variance weighted (fixed effects),2,1.215632828,1.053511292,1.402702737,0.00749946
Cardiovascular diseases,Coronary Artery Diseases,Coronary artery disease,ebi-a-GCST003116,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.215632828,1.125521112,1.312959087,6.72e-07
Cardiovascular diseases,Heart Failure,"Heart failure,strict",finn-b-I9_HEARTFAIL,ASGR1,Inverse variance weighted,2,1.206712917,1.024458784,1.421390579,0.024495891
Cardiovascular diseases,Heart Failure,"Heart failure,strict",finn-b-I9_HEARTFAIL,ASGR1,Inverse variance weighted (fixed effects),2,1.206712917,1.024458784,1.421390579,0.024495891
Cardiovascular diseases,Heart Failure,"Heart failure,strict",finn-b-I9_HEARTFAIL,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.206712917,1.086987501,1.339625398,0.000424141
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,ASGR1,Inverse variance weighted,2,1.007079219,1.000798769,1.013399081,0.027094002
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,ASGR1,Inverse variance weighted (fixed effects),2,1.007079219,1.003330751,1.010841691,0.000209119
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.007079219,1.000798769,1.013399081,0.027094002
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90018877,ASGR1,Inverse variance weighted,2,1.19369464,1.073643024,1.327170077,0.001060561
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90018877,ASGR1,Inverse variance weighted (fixed effects),2,1.19369464,1.073643024,1.327170077,0.001060561
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90018877,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.19369464,1.116423428,1.276314039,2.16e-07
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,ASGR1,Inverse variance weighted,2,1.261010164,1.138147262,1.397136105,9.24e-06
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,ASGR1,Inverse variance weighted (fixed effects),2,1.261010164,1.138147262,1.397136105,9.24e-06
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.261010164,1.171568365,1.357280275,6.47e-10
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011364,ASGR1,Inverse variance weighted,2,1.24272131,1.07048712,1.442666824,0.004305665
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011364,ASGR1,Inverse variance weighted (fixed effects),2,1.24272131,1.087922397,1.419546337,0.001366876
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011364,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.24272131,1.07048712,1.442666824,0.004305665
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,ebi-a-GCST90018833,ASGR1,Inverse variance weighted,2,1.218689468,1.043806843,1.422872469,0.012332006
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,ebi-a-GCST90018833,ASGR1,Inverse variance weighted (fixed effects),2,1.218689468,1.043806843,1.422872469,0.012332006
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,ebi-a-GCST90018833,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.218689468,1.077773498,1.37802982,0.001606831
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,finn-b-F5_DEPRESSIO,ASGR1,Inverse variance weighted,2,1.193973872,1.054667466,1.351680651,0.005096208
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,finn-b-F5_DEPRESSIO,ASGR1,Inverse variance weighted (fixed effects),2,1.193973872,1.054667466,1.351680651,0.005096208
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,finn-b-F5_DEPRESSIO,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.193973872,1.095597999,1.301183106,5.32e-05
Cardiovascular diseases,Stroke,Ischemic stroke (cardioembolic),ebi-a-GCST005842,ASGR1,Inverse variance weighted,2,0.755264751,0.594001969,0.960308,0.021992108
Cardiovascular diseases,Stroke,Ischemic stroke (cardioembolic),ebi-a-GCST005842,ASGR1,Inverse variance weighted (fixed effects),2,0.755264751,0.594001969,0.960308,0.021992108
Cardiovascular diseases,Stroke,Ischemic stroke (cardioembolic),ebi-a-GCST005842,ASGR1,Inverse variance weighted (multiplicative random effects),2,0.755264751,0.708023059,0.805658567,1.63e-17
Cardiovascular diseases,Stroke,Ischemic stroke (cardioembolic),ebi-a-GCST006910,ASGR1,Inverse variance weighted,2,0.730126095,0.563409332,0.946175514,0.017390229
Cardiovascular diseases,Stroke,Ischemic stroke (cardioembolic),ebi-a-GCST006910,ASGR1,Inverse variance weighted (fixed effects),2,0.730126095,0.563409332,0.946175514,0.017390229
Cardiovascular diseases,Stroke,Ischemic stroke (cardioembolic),ebi-a-GCST006910,ASGR1,Inverse variance weighted (multiplicative random effects),2,0.730126095,0.667599718,0.798508597,5.74e-12
Neurological and psychiatric diseases,Psychiatric Disorders,Major depressive disorder,ebi-a-GCST009979,ASGR1,Inverse variance weighted,2,1.160933219,1.032114739,1.305829563,0.012890999
Neurological and psychiatric diseases,Psychiatric Disorders,Major depressive disorder,ebi-a-GCST009979,ASGR1,Inverse variance weighted (fixed effects),2,1.160933219,1.032114739,1.305829563,0.012890999
Neurological and psychiatric diseases,Psychiatric Disorders,Major depressive disorder,ebi-a-GCST009979,ASGR1,Inverse variance weighted (multiplicative random effects),2,1.160933219,1.090149815,1.236312587,3.33e-06
Cardiovascular diseases,Stroke,"Stroke, including SAH",finn-b-I9_STR_SAH,ASGR1,Inverse variance weighted,2,0.840092846,0.716781375,0.984618203,0.031444908
Cardiovascular diseases,Stroke,"Stroke, including SAH",finn-b-I9_STR_SAH,ASGR1,Inverse variance weighted (fixed effects),2,0.840092846,0.716781375,0.984618203,0.031444908
Cardiovascular diseases,Stroke,"Stroke, including SAH",finn-b-I9_STR_SAH,ASGR1,Inverse variance weighted (multiplicative random effects),2,0.840092846,0.807846465,0.873626388,2.65e-18
Cardiovascular diseases,Heart Failure,Chronic heart failure,ebi-a-GCST90018806,ATRAID,Inverse variance weighted,10,0.925640863,0.867542253,0.987630289,0.019472982
Cardiovascular diseases,Heart Failure,Chronic heart failure,ebi-a-GCST90018806,ATRAID,Inverse variance weighted (fixed effects),10,0.925640863,0.867542253,0.987630289,0.019472982
Cardiovascular diseases,Heart Failure,Chronic heart failure,ebi-a-GCST90018806,ATRAID,Inverse variance weighted (multiplicative random effects),10,0.925640863,0.893047468,0.959423813,2.39e-05
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,ATRAID,Inverse variance weighted,10,0.931252336,0.880520395,0.984907241,0.012698665
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,ATRAID,Inverse variance weighted (fixed effects),10,0.931252336,0.889762098,0.974677294,0.002191103
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,ATRAID,Inverse variance weighted (multiplicative random effects),10,0.931252336,0.880520395,0.984907241,0.012698665
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,ATRAID,Inverse variance weighted,10,0.926350143,0.866680438,0.990128022,0.024319156
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,ATRAID,Inverse variance weighted (fixed effects),10,0.926350143,0.881951554,0.972983816,0.002266078
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,ATRAID,Inverse variance weighted (multiplicative random effects),10,0.926350143,0.866680438,0.990128022,0.024319156
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar affective disorders,finn-b-F5_BIPO,ATRAID,Inverse variance weighted,10,0.880967003,0.780448611,0.994431727,0.040331661
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar affective disorders,finn-b-F5_BIPO,ATRAID,Inverse variance weighted (fixed effects),10,0.880967003,0.780448611,0.994431727,0.040331661
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar affective disorders,finn-b-F5_BIPO,ATRAID,Inverse variance weighted (multiplicative random effects),10,0.880967003,0.788706352,0.984020046,0.024741902
Neurological and psychiatric diseases,Psychiatric Disorders,bipolar disorder,ieu-b-41,ATRAID,Inverse variance weighted,9,0.907575199,0.836679143,0.984478637,0.019441196
Neurological and psychiatric diseases,Psychiatric Disorders,bipolar disorder,ieu-b-41,ATRAID,Inverse variance weighted (fixed effects),9,0.907575199,0.836679143,0.984478637,0.019441196
Neurological and psychiatric diseases,Psychiatric Disorders,bipolar disorder,ieu-b-41,ATRAID,Inverse variance weighted (multiplicative random effects),9,0.907575199,0.846305862,0.973280204,0.006538781
Neurological and psychiatric diseases,Dementia,Vascular dementia (mixed),finn-b-VD_MX,ATRAID,Inverse variance weighted,10,2.345559927,1.091989566,5.038190417,0.028844285
Neurological and psychiatric diseases,Dementia,Vascular dementia (mixed),finn-b-VD_MX,ATRAID,Inverse variance weighted (fixed effects),10,2.345559927,1.144301929,4.807866901,0.019906676
Neurological and psychiatric diseases,Dementia,Vascular dementia (mixed),finn-b-VD_MX,ATRAID,Inverse variance weighted (multiplicative random effects),10,2.345559927,1.091989566,5.038190417,0.028844285
Cardiovascular diseases,Coronary Artery Diseases,Coronary atherosclerosis,finn-b-I9_CORATHER,ATRN,Inverse variance weighted,11,0.916922595,0.86097436,0.976506483,0.006931413
