cmr_category,cmr_trait,bmr_category,bmr_trait,n,beta,pvalue
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in superior corona radiata on FA skeleton (left),32103,0.085767278,1.77e-53
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (right),30385,0.088146286,1.79e-53
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L1 in tract inferior longitudinal fasciculus (right),32194,0.085636077,1.82e-53
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (right),32110,0.085696574,2.1e-53
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (left),32090,0.085717687,2.13e-53
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (left),32124,0.085670699,2.14e-53
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),32058,0.085711471,2.44e-53
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),32128,0.085613092,2.48e-53
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in posterior corona radiata on FA skeleton (left),31994,0.085759712,2.71e-53
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in posterior corona radiata on FA skeleton (left),32020,0.085703659,2.87e-53
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32131,0.085549151,2.93e-53
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in superior corona radiata on FA skeleton (right),32121,0.085559027,2.95e-53
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in posterior thalamic radiation on FA skeleton (left),32120,0.085549943,3.04e-53
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in cerebral peduncle on FA skeleton (left),32191,0.085429821,3.27e-53
Descending aorta,Descending aorta minimum area,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (left),30349,0.087942056,3.57e-53
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (left),32169,0.085381379,4.06e-53
Left ventricle,LV mean myocardial wall thickness AHA 7,NODDI dMRI,Mean ICVF in external capsule on FA skeleton (right),32140,-0.085407563,4.2e-53
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (right),32095,0.08545111,4.39e-53
Descending aorta,Descending aorta minimum area,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (right),30385,0.087802961,4.52e-53
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),32142,0.085342632,4.99e-53
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32140,0.085261728,6.29e-53
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (right),32102,0.085272027,7.03e-53
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32134,0.085204895,7.53e-53
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Weighted-mean ICVF in tract superior longitudinal fasciculus (right),32145,-0.08518725,7.59e-53
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),27524,-0.092013658,7.99e-53
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),32145,0.085137978,8.7e-53
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Mean L3 in external capsule on FA skeleton (right),32036,0.085270807,8.98e-53
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (left),32116,0.085144182,9.51e-53
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),32145,0.085097337,9.74e-53
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean MD in tract cingulate gyrus part of cingulum (right),32164,0.085060912,1e-52
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32140,0.085060259,1.1e-52
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),32131,0.085067289,1.11e-52
Descending aorta,Descending aorta distensibility,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (left),27518,-0.091860642,1.21e-52
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left),32147,0.085015091,1.21e-52
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (right),32107,0.0849796,1.55e-52
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L2 in external capsule on FA skeleton (right),32093,0.084979287,1.63e-52
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (right),32134,0.084898232,1.76e-52
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32131,0.084878961,1.87e-52
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (left),30335,0.087345091,1.88e-52
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (right),32053,0.084971381,1.93e-52
Left ventricle,LV mean myocardial wall thickness AHA 10,NODDI dMRI,Mean ISOVF in external capsule on FA skeleton (left),31733,0.085378063,2.03e-52
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),32121,0.084848244,2.11e-52
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (left),32157,0.084795072,2.15e-52
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (left),30407,0.087187403,2.18e-52
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean FA in anterior corona radiata on FA skeleton (left),30454,-0.087108727,2.24e-52
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (left),32048,0.084873526,2.57e-52
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean FA in tract anterior thalamic radiation (right),32196,-0.084618983,3.03e-52
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right),32146,0.084678661,3.08e-52
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32080,0.08474801,3.23e-52
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (right),30405,0.087042233,3.24e-52
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L1 in tract inferior longitudinal fasciculus (left),32191,0.084591247,3.33e-52
Descending aorta,Descending aorta distensibility,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (right),27513,-0.091376631,4.26e-52
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (right),32143,0.084552044,4.41e-52
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (right),32126,0.084532642,4.95e-52
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),27530,-0.091227579,5.8e-52
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L1 in posterior corona radiata on FA skeleton (left),32023,0.084607912,5.83e-52
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Mean ICVF in superior longitudinal fasciculus on FA skeleton (right),32142,-0.084450055,5.86e-52
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (right),27499,-0.091248646,6.26e-52
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (right),30421,0.086735579,6.91e-52
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),32141,0.08438946,6.95e-52
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in sagittal stratum on FA skeleton (left),32146,0.084374417,7.11e-52
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (left),32091,0.084432951,7.38e-52
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (right),32168,0.084331608,7.39e-52
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left),32138,0.084345478,7.92e-52
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (right),32149,0.084321619,8.13e-52
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (right),32145,0.084322698,8.22e-52
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean L3 in posterior corona radiata on FA skeleton (right),27394,-0.091238528,9.98e-52
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in body of corpus callosum on FA skeleton,32122,0.084268604,1.04e-51
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in retrolenticular part of internal capsule on FA skeleton (left),32185,0.084182858,1.05e-51
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),32136,0.08424611,1.05e-51
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32085,0.084264865,1.19e-51
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (left),32070,0.08428302,1.2e-51
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in superior fronto-occipital fasciculus on FA skeleton (left),31368,0.08518301,1.32e-51
Descending aorta,Descending aorta distensibility,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (left),27533,-0.090892155,1.34e-51
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right),32145,0.084140575,1.35e-51
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (left),32116,0.084174083,1.37e-51
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Mean ISOVF in external capsule on FA skeleton (right),31863,0.084494,1.42e-51
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (left),30402,0.08648449,1.45e-51
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in body of corpus callosum on FA skeleton,32184,0.084060521,1.47e-51
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (left),32140,0.0841172,1.47e-51
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (right),32097,0.084164453,1.51e-51
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in superior longitudinal fasciculus on FA skeleton (right),32140,0.084105556,1.52e-51
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean MD in external capsule on FA skeleton (right),27428,-0.09101296,1.53e-51
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (right),30282,0.086573646,1.8e-51
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ISOVF in posterior corona radiata on FA skeleton (left),32072,0.084102876,1.95e-51
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32055,0.084055522,2.35e-51
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in retrolenticular part of internal capsule on FA skeleton (right),32175,0.083893063,2.39e-51
Left ventricle,LV myocardial mass,DTI dMRI,Mean FA in anterior limb of internal capsule on FA skeleton (right),32192,-0.083868181,2.41e-51
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (right),32167,0.0838308,2.92e-51
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),32143,0.083832981,3.16e-51
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (left),32094,0.083882843,3.28e-51
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (right),32165,0.083787903,3.3e-51
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean L3 in external capsule on FA skeleton (left),32049,0.083936094,3.33e-51
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in superior fronto-occipital fasciculus on FA skeleton (right),31627,0.084478984,3.45e-51
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean MD in superior fronto-occipital fasciculus on FA skeleton (left),26874,-0.091614213,3.48e-51
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (left),32092,0.083855424,3.56e-51
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),32137,0.083786614,3.66e-51
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (right),32094,0.083839243,3.69e-51
Left ventricle,LV myocardial mass,DTI dMRI,Mean L1 in anterior limb of internal capsule on FA skeleton (left),32170,0.083720255,3.9e-51
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (right),31982,0.08394901,4.08e-51
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (left),32100,0.083773644,4.32e-51
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (left),32124,0.083725621,4.52e-51
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in genu of corpus callosum on FA skeleton,32164,0.083660389,4.69e-51
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),32134,0.083683067,4.9e-51
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),30411,0.085979534,5.35e-51
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (left),32048,0.083756428,5.44e-51
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in retrolenticular part of internal capsule on FA skeleton (left),32156,0.083600518,5.68e-51
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in posterior thalamic radiation on FA skeleton (right),32116,0.083648899,5.73e-51
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in posterior corona radiata on FA skeleton (right),31916,0.083907439,5.77e-51
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L1 in tract superior thalamic radiation (right),32143,0.083571511,6.43e-51
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Weighted-mean ICVF in tract superior longitudinal fasciculus (left),32140,-0.08356928,6.54e-51
Left ventricle,LV mean myocardial wall thickness AHA 10,NODDI dMRI,Mean ICVF in external capsule on FA skeleton (left),32145,-0.083559133,6.61e-51
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (left),32095,0.083605815,6.94e-51
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (left),32117,0.083566435,7.15e-51
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Weighted-mean ICVF in tract anterior thalamic radiation (right),32153,-0.083517633,7.19e-51
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (left),32090,0.083588409,7.4e-51
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32073,0.083581934,8e-51
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (left),27503,-0.090189213,8.95e-51
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),30351,0.08585817,9.22e-51
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (right),32124,0.083444554,9.71e-51
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L1 in tract superior longitudinal fasciculus (left),32137,0.083361167,1.16e-50
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (right),32128,0.083367823,1.18e-50
Left ventricle,LV mean myocardial wall thickness AHA 9,NODDI dMRI,Mean ISOVF in external capsule on FA skeleton (left),31732,0.083858442,1.26e-50
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in posterior thalamic radiation on FA skeleton (left),32096,0.083375221,1.29e-50
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),32169,-0.083222003,1.52e-50
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),32107,0.083285559,1.58e-50
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (left),32157,0.083200092,1.68e-50
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),32114,0.083242077,1.74e-50
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean FA in anterior corona radiata on FA skeleton (left),32184,-0.083147271,1.76e-50
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),32136,0.083172089,1.95e-50
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),30399,0.085506272,1.95e-50
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (right),30394,0.085495338,2.04e-50
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),32051,0.083262238,2.05e-50
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (right),31749,0.083632587,2.19e-50
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (right),30339,0.085540739,2.22e-50
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (left),32064,0.08321491,2.23e-50
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),31974,0.083320772,2.29e-50
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (right),32125,0.0830723,2.65e-50
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),32119,0.083075666,2.68e-50
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Mean ISOVF in superior corona radiata on FA skeleton (right),32151,0.083021775,2.77e-50
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),32122,0.083009802,3.17e-50
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),30348,0.085347434,3.57e-50
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (right),32134,0.082939795,3.67e-50
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (right),32166,0.082893704,3.72e-50
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32048,0.083030755,3.87e-50
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right),32145,0.082898413,3.95e-50
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32082,0.082966993,4.08e-50
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),30270,0.085371748,4.46e-50
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L1 in superior longitudinal fasciculus on FA skeleton (right),32170,0.082815914,4.52e-50
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (right),30402,0.085106777,5.5e-50
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),32119,0.082776324,6e-50
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),27452,-0.08946409,6.74e-50
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (right),32119,0.082729517,6.8e-50
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in superior fronto-occipital fasciculus on FA skeleton (right),31653,0.083331893,6.85e-50
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean L3 in external capsule on FA skeleton (left),27452,-0.08945093,6.97e-50
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (right),32103,0.082733323,7.12e-50
Left ventricle,LV myocardial mass,DTI dMRI,Mean L1 in anterior limb of internal capsule on FA skeleton (right),32170,0.08264371,7.19e-50
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean FA in tract inferior longitudinal fasciculus (left),32170,-0.082610494,7.86e-50
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (right),27386,-0.089501471,8.02e-50
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (right),32123,0.082662139,8.04e-50
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),27500,-0.089288029,8.61e-50
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean FA in anterior limb of internal capsule on FA skeleton (right),30444,-0.084860058,9e-50
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),32145,0.082555551,9.93e-50
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left),31649,0.083193857,1e-49
Left ventricle,LV myocardial mass,DTI dMRI,Mean FA in cerebral peduncle on FA skeleton (left),32192,-0.082468375,1.07e-49
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean MD in posterior corona radiata on FA skeleton (right),27346,-0.089448341,1.08e-49
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32057,0.082622698,1.12e-49
Descending aorta,Descending aorta minimum area,DTI dMRI,Mean MD in external capsule on FA skeleton (left),30329,0.084927097,1.15e-49
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),32060,0.082589086,1.22e-49
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (left),32120,0.082494943,1.27e-49
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in posterior thalamic radiation on FA skeleton (right),32109,0.082502151,1.3e-49
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (right),27492,-0.089128425,1.32e-49
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),32116,0.082437578,1.5e-49
Descending aorta,Descending aorta minimum area,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),30266,0.084865748,1.69e-49
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (right),32139,0.082362633,1.7e-49
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (left),27486,-0.089032428,1.72e-49
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32138,0.082355629,1.74e-49
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),32139,0.08234739,1.77e-49
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (left),32049,0.082454009,1.81e-49
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),32133,0.082338214,1.85e-49
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),31980,0.082521875,1.91e-49
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (right),32057,0.082412436,1.97e-49
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (right),32144,0.082298413,1.98e-49
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in genu of corpus callosum on FA skeleton,32189,0.08216608,2.42e-49
Left ventricle,LV mean myocardial wall thickness AHA 10,NODDI dMRI,Mean ICVF in external capsule on FA skeleton (right),32141,-0.082215443,2.5e-49
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Weighted-mean ICVF in tract superior thalamic radiation (right),32140,-0.082209251,2.55e-49
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),27511,-0.088792432,2.82e-49
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in sagittal stratum on FA skeleton (left),32146,0.082132642,3.07e-49
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (left),32100,0.082141315,3.51e-49
